,Load: Load Number,Load: Created Date,Actual Pickup Date,Origin Zip Code,Destination Zip Code,Origin State,Destination State,Mode,Linear Feet,Total Weight,Distance (Miles),Total HU,Revenue (Mixed) Currency,Revenue (Mixed),Carrier Cost (Mixed) Currency,Carrier Cost (Mixed),Target buy rate,GS Network buy rate
0,SHP5161932,8/5/2024,8/6/2024,45786,33316,Ohio,Florida,Partial F/SD (LTL Spot Market),20.5,1675.0,1081.85,2.0,USD,1600.0,USD,1450.0,2761.0,2732.0
1,SHP5159992,8/2/2024,8/5/2024,63068,84404,Missouri,Utah,Partial Van (LTL Spot Market),14.0,3800.0,1300.63,8.0,USD,1839.56,USD,1400.0,2640.0,2618.0
2,SHP5159491,8/2/2024,8/5/2024,77029,77075,Texas,Texas,Partial Van (LTL Spot Market),28.0,5098.0,1105.12,14.0,USD,339.0,USD,300.0,478.0,471.0
3,SHP5158433,8/2/2024,8/2/2024,94587,33178,California,Florida,Partial Van (LTL Spot Market),10.5,2111.0,3022.26,6.0,USD,2034.0,USD,1700.0,5707.0,5606.0
4,SHP5155814,8/1/2024,8/2/2024,46312,33166,Indiana,Florida,Partial Van (LTL Spot Market),14.58,12500.0,1367.44,10.0,USD,1482.0,USD,1300.0,3009.0,3024.0
5,SHP5155577,8/1/2024,8/5/2024,89521,33172,Nevada,Florida,Partial F/SD (LTL Spot Market),12.0,5026.0,3080.67,1.0,USD,2100.0,USD,2050.0,5357.0,5338.0
6,SHP5153920,7/31/2024,8/5/2024,38019,33166,Tennessee,Florida,Partial Van (LTL Spot Market),12.0,11400.0,1019.15,12.0,USD,2083.0,USD,1750.0,2597.0,2628.0
7,SHP5152985,7/31/2024,8/5/2024,89423,07036,Nevada,New Jersey,Partial Van (LTL Spot Market),13.0,1095.0,2728.47,1.0,USD,1862.51,USD,1900.0,5404.0,5236.0
8,SHP5152503,7/31/2024,8/2/2024,46268,78045,Indiana,Texas,Partial Van (LTL Spot Market),10.0,15600.0,1333.07,13.0,USD,1355.29,USD,1300.0,1887.0,1813.0
9,SHP5150942,7/31/2024,8/2/2024,21224,33178,Maryland,Florida,Partial F/SD (LTL Spot Market),10.0,9500.0,1103.1,1.0,USD,1290.0,USD,1130.0,2665.0,2602.0
10,SHP5150469,7/31/2024,7/31/2024,92408,33018,California,Florida,Partial F/SD (LTL Spot Market),0.01,1000.0,2674.18,1.0,USD,1690.0,USD,1200.0,5261.0,5165.0
11,SHP5150419,7/31/2024,8/1/2024,06239,33172,Connecticut,Florida,Partial Van (LTL Spot Market),18.0,11757.0,1456.31,11.0,USD,1970.36,USD,1700.0,2440.0,2479.0
12,SHP5149769,7/30/2024,7/31/2024,01590,33178,Massachusetts,Florida,Partial Van (LTL Spot Market),20.0,1220.0,1467.67,9.0,USD,1984.0,USD,1700.0,2576.0,2462.0
13,SHP5148700,7/30/2024,7/31/2024,38141,33166,Tennessee,Florida,Partial Van (LTL Spot Market),18.34,3370.0,978.4,3.0,USD,2000.0,USD,1650.0,2671.0,2698.0
14,SHP5148212,7/30/2024,7/31/2024,92398,33122,California,Florida,Partial F/SD (LTL Spot Market),6.67,2500.0,2641.4,1.0,USD,1200.0,USD,1050.0,5012.0,4910.0
15,SHP5147898,7/30/2024,7/31/2024,29385,33166,South Carolina,Florida,Partial Van (LTL Spot Market),11.0,5808.0,740.27,2.0,USD,1986.55,USD,1300.0,1934.0,1871.0
16,SHP5145460,7/29/2024,7/31/2024,90502,33309,California,Florida,Partial Van (LTL Spot Market),20.0,7866.0,2710.26,9.0,USD,2760.0,USD,2400.0,5665.0,6040.0
17,SHP5143548,7/29/2024,8/1/2024,77066,33326,Texas,Florida,Partial F/SD (LTL Spot Market),18.0,5000.0,1190.75,1.0,USD,1800.0,USD,1350.0,2898.0,2845.0
18,SHP5143500,7/29/2024,7/29/2024,64507,33166,Missouri,Florida,Partial Van (LTL Spot Market),16.67,20917.0,1524.26,10.0,USD,2017.83,USD,1900.0,3559.0,3385.0
19,SHP5141325,7/27/2024,7/31/2024,01020,33178,Massachusetts,Florida,Partial Van (LTL Spot Market),20.0,3500.0,1436.0,10.0,USD,2050.0,USD,1764.0,2557.0,2505.0
20,SHP5139638,7/26/2024,7/31/2024,82717,90221,Wyoming,California,Partial F/SD (LTL Spot Market),5.0,10208.0,1217.06,1.0,USD,2150.0,USD,1800.0,2329.0,2254.0
21,SHP5138688,7/26/2024,7/26/2024,90248,63901,California,Missouri,Partial Van (LTL Spot Market),12.0,15819.0,1807.14,6.0,USD,2585.0,USD,2200.0,3837.0,3737.0
22,SHP5138685,7/26/2024,8/2/2024,12866,33178,New York,Florida,Partial Van (LTL Spot Market),7.0,2400.0,1457.16,1.0,USD,1867.71,USD,1743.99,2853.0,3031.0
23,SHP5138548,7/26/2024,7/30/2024,89423,07036,Nevada,New Jersey,Partial Van (LTL Spot Market),8.0,950.0,2728.47,1.0,USD,1769.96,USD,1750.0,5464.0,5211.0
24,SHP5136952,7/25/2024,7/26/2024,50170,33166,Iowa,Florida,Partial F/SD (LTL Spot Market),12.0,2120.0,1539.03,5.0,USD,1476.82,USD,1200.0,3221.0,3120.0
25,SHP5135664,7/25/2024,7/31/2024,85658,33122,Arizona,Florida,Partial F/SD (LTL Spot Market),16.0,11000.0,2275.46,1.0,USD,3590.0,USD,2940.0,4651.0,4714.0
26,SHP5133143,7/24/2024,7/25/2024,77029,33010,Texas,Florida,Partial Van (LTL Spot Market),16.0,1920.0,1181.17,8.0,USD,1035.0,USD,900.0,2708.0,2684.0
27,SHP5131579,7/24/2024,7/25/2024,90220,29153,California,South Carolina,Partial Van (LTL Spot Market),18.0,21438.0,2451.95,13.0,USD,3340.0,USD,2910.0,4800.0,4839.0
28,SHP5131430,7/24/2024,7/30/2024,78045,34475,Texas,Florida,Partial Van (LTL Spot Market),0.01,19834.0,1226.8,14.0,USD,2228.9,USD,2100.0,2899.0,2930.0
29,SHP5131297,7/24/2024,7/22/2024,11430,85226,New York,Arizona,Partial F/SD (LTL Spot Market),0.01,500.0,2450.03,1.0,USD,200.0,USD,150.0,5230.0,5035.0
30,SHP5130266,7/24/2024,7/26/2024,26134,33172,West Virginia,Florida,Partial Van (LTL Spot Market),19.0,14118.0,1102.44,9.0,USD,2250.0,USD,2000.0,2761.0,2702.0
31,SHP5129176,7/23/2024,7/25/2024,75038,33182,Texas,Florida,Partial Van (LTL Spot Market),24.0,4270.0,1339.24,12.0,USD,2235.03,USD,2000.0,2925.0,2870.0
32,SHP5128835,7/23/2024,7/25/2024,08077,33182,New Jersey,Florida,Partial Van (LTL Spot Market),16.0,16700.0,1222.64,9.0,USD,1858.58,USD,1600.0,2621.0,2633.0
33,SHP5127820,7/23/2024,7/24/2024,77338,33172,Texas,Florida,Partial F/SD (LTL Spot Market),0.1,7068.0,1208.05,1.0,USD,1610.0,USD,1200.0,2823.0,2819.0
34,SHP5127087,7/23/2024,7/23/2024,53132,33172,Wisconsin,Florida,Partial Van (LTL Spot Market),20.16,8630.0,1479.31,17.0,USD,2220.54,USD,2100.0,3173.0,3058.0
35,SHP5126612,7/23/2024,7/24/2024,91739,77020,California,Texas,Partial Van (LTL Spot Market),8.0,1540.0,1516.14,6.0,USD,1444.69,USD,1400.0,3311.0,3260.0
36,SHP5120359,7/22/2024,7/24/2024,94587,33178,California,Florida,Partial Van (LTL Spot Market),14.0,2897.0,3022.26,8.0,USD,2880.0,USD,2600.0,5922.0,5769.0
37,SHP5119968,7/22/2024,7/23/2024,44125,78045,Ohio,Texas,Partial Van (LTL Spot Market),20.0,2020.0,1610.32,8.0,USD,1624.95,USD,1400.0,2237.0,2055.0
38,SHP5119677,7/22/2024,7/25/2024,35180,33178,Alabama,Florida,Partial F/SD (LTL Spot Market),10.0,4233.0,772.83,1.0,USD,1775.0,USD,1400.0,2380.0,2350.0
39,SHP5115865,7/19/2024,7/23/2024,26134,33172,West Virginia,Florida,Partial Van (LTL Spot Market),19.0,14118.0,1102.44,9.0,USD,250.0,USD,150.0,2780.0,2730.0
40,SHP5115744,7/19/2024,7/22/2024,44875,78045,Ohio,Texas,Partial F/SD (LTL Spot Market),0.01,8938.0,1550.4,0.0,USD,1700.0,USD,1400.0,3398.0,3402.0
41,SHP5115588,7/19/2024,8/1/2024,82717,33166,Wyoming,Florida,Partial F/SD (LTL Spot Market),13.0,18921.0,2313.9,2.0,USD,195.0,USD,150.0,3901.0,3968.0
42,SHP5115163,7/19/2024,7/30/2024,73036,32206,Oklahoma,Florida,Partial F/SD (LTL Spot Market),9.0,13260.0,1481.33,1.0,USD,2950.0,USD,2650.0,2395.0,2406.0
43,SHP5113564,7/18/2024,7/22/2024,90502,33309,California,Florida,Partial Van (LTL Spot Market),8.04,18983.0,2710.26,21.0,USD,5200.0,USD,4500.0,5399.0,5682.0
44,SHP5113351,7/18/2024,7/29/2024,07430,33122,New Jersey,Florida,Partial Van (LTL Spot Market),16.0,4214.0,1315.78,8.0,USD,1300.0,USD,1200.0,2504.0,2527.0
45,SHP5112849,7/18/2024,7/23/2024,75751,33122,Texas,Florida,Partial Van (LTL Spot Market),25.0,3895.0,1262.34,11.0,USD,2026.33,USD,1600.0,2909.0,2782.0
46,SHP5112835,7/18/2024,7/19/2024,97230,27615,Oregon,North Carolina,Partial Van (LTL Spot Market),26.0,6098.0,2854.33,12.0,USD,3630.0,USD,3100.0,4512.0,4620.0
47,SHP5111411,7/18/2024,7/23/2024,11430,85226,New York,Arizona,Partial F/SD (LTL Spot Market),0.01,500.0,2450.03,1.0,USD,2750.0,USD,2200.0,5235.0,5040.0
48,SHP5110731,7/18/2024,7/25/2024,92398,33122,California,Florida,Partial F/SD (LTL Spot Market),19.25,3820.0,2641.4,2.0,USD,800.0,USD,800.0,4769.0,4692.0
49,SHP5110703,7/18/2024,7/23/2024,08077,33182,New Jersey,Florida,Partial Van (LTL Spot Market),12.0,16700.0,1222.64,9.0,USD,250.0,USD,0.0,2658.0,2675.0
50,SHP5110472,7/18/2024,7/19/2024,33112,08527,Florida,New Jersey,Partial Van (LTL Spot Market),0.02,8000.0,1262.35,5.0,USD,1125.0,USD,1000.0,1811.0,1696.0
51,SHP5104804,7/18/2024,7/25/2024,90248,47331,California,Indiana,Partial Van (LTL Spot Market),18.0,6150.0,2136.85,13.0,USD,2360.0,USD,2000.0,4172.0,4077.0
52,SHP5102807,7/17/2024,7/19/2024,47130,33182,Indiana,Florida,Partial F/SD (LTL Spot Market),23.58,2931.0,1093.55,3.0,USD,1349.56,USD,1050.0,2976.0,2925.0
53,SHP5101175,7/17/2024,7/18/2024,16502,33122,Pennsylvania,Florida,Partial F/SD (LTL Spot Market),7.0,13500.0,1307.6,1.0,USD,1623.0,USD,1400.0,3095.0,3057.0
54,SHP5098712,7/16/2024,7/19/2024,85282,54401,Arizona,Wisconsin,Partial F/SD (LTL Spot Market),18.0,2220.0,1814.4,2.0,USD,1850.0,USD,1700.0,3182.0,3200.0
55,SHP5098447,7/16/2024,7/18/2024,75150,33018,Texas,Florida,Partial Van (LTL Spot Market),22.0,2558.0,1296.98,5.0,USD,2031.0,USD,1900.0,2756.0,2747.0
56,SHP5097450,7/16/2024,7/22/2024,65020,13440,Missouri,New York,Partial Van (LTL Spot Market),21.0,10145.0,1108.1,10.0,USD,1605.44,USD,1600.0,2776.0,2764.0
57,SHP5097257,7/16/2024,7/19/2024,92220,60101,California,Illinois,Partial Van (LTL Spot Market),0.01,1500.0,1987.03,1.0,USD,1490.0,USD,1100.0,3931.0,3786.0
58,SHP5094952,7/15/2024,7/16/2024,34787,78045,Florida,Texas,Partial Van (LTL Spot Market),12.2,1640.0,1298.25,6.0,USD,1050.14,USD,950.0,1683.0,1682.0
59,SHP5094194,7/15/2024,7/15/2024,90248,84116,California,Utah,Partial Van (LTL Spot Market),0.01,7478.0,701.2,15.0,USD,1648.0,USD,1400.0,2350.0,2342.0
60,SHP5094116,7/15/2024,7/17/2024,15301,33178,Pennsylvania,Florida,Partial Van (LTL Spot Market),23.0,17620.0,1150.28,4.0,USD,2273.0,USD,1850.0,2843.0,2813.0
61,SHP5093194,7/15/2024,7/16/2024,15342,33178,Pennsylvania,Florida,Partial Van (LTL Spot Market),13.0,7815.0,1158.18,19.0,USD,1945.01,USD,1500.0,2839.0,2810.0
62,SHP5091904,7/12/2024,7/15/2024,13601,33122,New York,Florida,Partial Van (LTL Spot Market),20.0,7450.0,1508.85,10.0,USD,2014.0,USD,1700.0,2927.0,2879.0
63,SHP5091886,7/12/2024,7/25/2024,78045,45040,Texas,Ohio,Partial Van (LTL Spot Market),23.0,20371.0,1385.46,11.0,USD,1939.04,USD,1800.0,2688.0,2647.0
64,SHP5090694,7/12/2024,7/26/2024,22630,33166,Virginia,Florida,Partial Van (LTL Spot Market),20.0,15500.0,1075.84,10.0,USD,1726.4,USD,1350.0,2408.0,2401.0
65,SHP5090114,7/12/2024,7/15/2024,76705,85260,Texas,Arizona,Partial Van (LTL Spot Market),26.0,1540.0,1127.32,4.0,USD,1704.0,USD,1300.0,1621.0,1628.0
66,SHP5090080,7/12/2024,7/18/2024,79766,33018,Texas,Florida,Partial F/SD (LTL Spot Market),6.0,2450.0,1660.5,1.0,USD,1292.0,USD,1150.0,3363.0,3208.0
67,SHP5087687,7/11/2024,7/19/2024,23320,95020,Virginia,California,Partial Van (LTL Spot Market),10.0,10500.0,2921.54,5.0,USD,3037.4,USD,2137.4,3858.0,3913.0
